specimen_id	image_path	box_id	rank	prompt_class	prompt_group	confidence	bbox_xyxy	area_fraction	center_x	center_y	aspect_ratio	is_text	is_auxiliary	duplicate_of	is_duplicate_suppressed	text_seed	auxiliary_seed
L.2180891	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0005_L.2180891.jpg	Y0001	1	handwritten note	text	0.72733253	[400, 3649, 1068, 4117]	0.013954940252131145	0.20716906576347727	0.6141072275818441	1.4273504273504274	True	False		False	True	False
L.2180891	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0005_L.2180891.jpg	Y0002	2	blank paper label	auxiliary	0.46630889	[400, 3649, 1068, 4117]	0.013954940252131145	0.20716906576347727	0.6141072275818441	1.4273504273504274	False	True		False	False	True
L.2180891	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0005_L.2180891.jpg	Y0003	3	annotation label	text	0.35869566	[3052, 5053, 3427, 5384]	0.0055407037169116205	0.9143381315269545	0.825320259370552	1.1329305135951662	True	False	Y0020	True	False	False
L.2180891	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0005_L.2180891.jpg	Y0004	4	empty label	auxiliary	0.35649502	[400, 3649, 1068, 4117]	0.013954940252131145	0.20716906576347727	0.6141072275818441	1.4273504273504274	False	True	Y0002	True	False	False
L.2180891	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0005_L.2180891.jpg	Y0005	5	database label	text	0.28039888	[1005, 5795, 1458, 5926]	0.002648958555268369	0.34758679085520744	0.9268543412936897	3.4580152671755724	True	False	Y0144	True	False	False
L.2180891	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0005_L.2180891.jpg	Y0006	6	printed label	text	0.27325496	[2615, 517, 3030, 705]	0.0034826642819210042	0.7966412644651425	0.09663134588012019	2.2074468085106385	True	False	Y0116	True	False	False
L.2180891	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0005_L.2180891.jpg	Y0007	7	database label	text	0.26644692	[2233, 104, 2675, 249]	0.002860855598927418	0.6926333615580017	0.027913964890083822	3.0482758620689654	True	False	Y0138	True	False	False
L.2180891	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0005_L.2180891.jpg	Y0008	8	printed label	text	0.24986081	[2226, 94, 3358, 243]	0.00752901844530956	0.7880327406152978	0.02664874268543413	7.597315436241611	True	False	Y0102	True	False	False
L.2180891	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0005_L.2180891.jpg	Y0009	9	type specimen label	text	0.23127714	[3052, 5053, 3427, 5384]	0.0055407037169116205	0.9143381315269545	0.825320259370552	1.1329305135951662	True	False	Y0020	True	False	False
L.2180891	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0005_L.2180891.jpg	Y0010	10	annotation label	text	0.22850046	[2615, 517, 3030, 705]	0.0034826642819210042	0.7966412644651425	0.09663134588012019	2.2074468085106385	True	False	Y0116	True	False	False
L.2180891	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0005_L.2180891.jpg	Y0011	11	database label	text	0.2268713	[2615, 517, 3030, 705]	0.0034826642819210042	0.7966412644651425	0.09663134588012019	2.2074468085106385	True	False	Y0116	True	False	False
