specimen_id	candidate_panel_id	panel_kind	panel_role	bbox_xyxy	area_fraction	n_child_boxes	best_confidence	mean_confidence	panel_score	child_box_ids_json	class_counts_json
L.2180891	P0001	text	main_text_label_panel	[910, 4722, 1855, 5934]	0.051125797342417366	8	0.07495306	0.028406462500000004	14.472083757336218	"[""Y0054"", ""Y0127"", ""Y0144"", ""Y0207"", ""Y0221"", ""Y0234"", ""Y0248"", ""Y0267""]"	"{""catalog number"": 2, ""herbarium stamp"": 1, ""primary specimen label"": 1, ""printed label"": 3, ""type specimen label"": 1}"
L.2180891	P0002	text	oversized_text_panel_shrink_required	[0, 3308, 3543, 6323]	0.4768306183773525	31	0.13461319	0.026092778387096772	13.31739386819993	"[""Y0020"", ""Y0088"", ""Y0099"", ""Y0105"", ""Y0114"", ""Y0145"", ""Y0149"", ""Y0151"", ""Y0153"", ""Y0155"", ""Y0161"", ""Y0170"", ""Y0203"", ""Y0204"", ""Y0205"", ""Y0224"", ""Y0227"", ""Y0233"", ""Y0249"", ""Y0253"", ""Y0257"", ""Y0259"", ""Y0263"", ""Y0266"", ""Y0268"", ""Y0271"", ""Y0280"", ""Y0286"", ""Y0288"", ""Y0297"", ""Y0300""]"	"{""annotation label"": 1, ""barcode label"": 1, ""catalog number"": 10, ""database label"": 4, ""handwritten note"": 2, ""primary specimen label"": 1, ""printed label"": 8, ""type specimen label"": 4}"
L.2180891	P0003	text	small_text_label_panel	[2226, 94, 3358, 249]	0.007832200396127396	4	0.04089495	0.035116787499999996	8.6321227624341	"[""Y0102"", ""Y0117"", ""Y0135"", ""Y0138""]"	"{""primary specimen label"": 3, ""printed label"": 1}"
L.2180891	P0004	text	small_text_label_panel	[2615, 517, 3030, 705]	0.0034826642819210042	3	0.04574054	0.034820286666666665	7.023515981119891	"[""Y0094"", ""Y0116"", ""Y0191""]"	"{""handwritten note"": 1, ""primary specimen label"": 2}"
L.2180891	P0005	text	isolated_text_label_panel	[400, 3649, 1068, 4117]	0.013954940252131145	1	0.72733253	0.72733253	4.775144770559946	"[""Y0001""]"	"{""handwritten note"": 1}"
L.2180891	P0006	text	small_text_label_panel	[1462, 3489, 1937, 3700]	0.004473853212708698	2	0.03096194	0.024407365	3.6914981086681093	"[""Y0139"", ""Y0229""]"	"{""annotation label"": 1, ""database label"": 1}"
L.2180891	P0007	text	isolated_text_label_panel	[2527, 403, 2918, 452]	0.0008552212891223342	1	0.03362178	0.03362178	2.5940125205599456	"[""Y0128""]"	"{""primary specimen label"": 1}"
L.2180891	P0008	text	isolated_text_label_panel	[782, 2562, 1174, 2624]	0.0010848842951526286	1	0.01370895	0.01370895	2.2342740305599453	"[""Y0292""]"	"{""annotation label"": 1}"
L.2180891	P0009	text	isolated_text_label_panel	[2014, 1432, 2644, 2335]	0.02539416666677826	1	0.01472994	0.01472994	1.1873370005599453	"[""Y0276""]"	"{""herbarium stamp"": 1}"
L.2180891	P0010	auxiliary	auxiliary_barrier_panel	[0, 58, 3543, 6323]	0.9908271390162897	26	0.46630889	0.065519675	1.5934227210002707	"[""Y0002"", ""Y0015"", ""Y0019"", ""Y0038"", ""Y0043"", ""Y0045"", ""Y0056"", ""Y0076"", ""Y0084"", ""Y0086"", ""Y0087"", ""Y0096"", ""Y0108"", ""Y0111"", ""Y0142"", ""Y0146"", ""Y0187"", ""Y0188"", ""Y0195"", ""Y0217"", ""Y0226"", ""Y0231"", ""Y0245"", ""Y0254"", ""Y0261"", ""Y0287""]"	"{""blank paper label"": 7, ""calibration color map"": 1, ""color calibration chart"": 7, ""colour bar"": 1, ""colour chart"": 9, ""institution logo"": 1}"
L.2180891	P0011	auxiliary	auxiliary_barrier_panel	[1237, 4722, 1472, 4869]	0.0015420230404891192	1	0.02135573	0.02135573	0.3893035926399863	"[""Y0196""]"	"{""empty label"": 1}"
L.2180891	P0012	auxiliary	auxiliary_barrier_panel	[1557, 5477, 1851, 5726]	0.0032677764858024742	1	0.0207893	0.0207893	0.38887877013998634	"[""Y0198""]"	"{""empty label"": 1}"
L.2180891	P0013	auxiliary	auxiliary_barrier_panel	[994, 5788, 1479, 5934]	0.0031608236068037207	1	0.01567269	0.01567269	0.3850413126399863	"[""Y0265""]"	"{""empty label"": 1}"
