specimen_id	candidate_panel_id	panel_kind	panel_role	bbox_xyxy	area_fraction	n_child_boxes	best_confidence	mean_confidence	panel_score	child_box_ids_json	class_counts_json
EIG.6762	P0001	text	main_text_label_panel	[3742, 5296, 5620, 7819]	0.10024888973293672	34	0.30106777	0.03511033323529413	59.658551371489416	"[""Y0012"", ""Y0021"", ""Y0095"", ""Y0131"", ""Y0144"", ""Y0149"", ""Y0153"", ""Y0159"", ""Y0181"", ""Y0190"", ""Y0196"", ""Y0203"", ""Y0211"", ""Y0217"", ""Y0218"", ""Y0219"", ""Y0223"", ""Y0228"", ""Y0234"", ""Y0239"", ""Y0240"", ""Y0241"", ""Y0251"", ""Y0252"", ""Y0258"", ""Y0259"", ""Y0270"", ""Y0275"", ""Y0276"", ""Y0281"", ""Y0282"", ""Y0286"", ""Y0294"", ""Y0298""]"	"{""annotation label"": 4, ""catalog number"": 8, ""handwritten note"": 2, ""printed label"": 15, ""type specimen label"": 5}"
EIG.6762	P0002	text	main_text_label_panel	[1117, 7004, 3166, 7474]	0.020375419047744783	7	0.188282	0.05035684285714287	14.944287541679836	"[""Y0029"", ""Y0088"", ""Y0128"", ""Y0220"", ""Y0244"", ""Y0285"", ""Y0290""]"	"{""catalog number"": 1, ""handwritten note"": 3, ""primary specimen label"": 1, ""printed label"": 2}"
EIG.6762	P0003	text	small_text_label_panel	[1, 4603, 569, 5332]	0.008760776420192287	2	0.06623793	0.052080760000000004	4.9973260786681095	"[""Y0083"", ""Y0133""]"	"{""handwritten note"": 1, ""primary specimen label"": 1}"
EIG.6762	P0004	text	small_text_label_panel	[3, 786, 561, 1520]	0.008665567147672375	2	0.02865291	0.02119699	4.88457101866811	"[""Y0164"", ""Y0288""]"	"{""handwritten note"": 1, ""primary specimen label"": 1}"
EIG.6762	P0005	text	isolated_text_label_panel	[189, 3244, 275, 3310]	0.00012009062907178323	1	0.01610001	0.01610001	2.5414472105599453	"[""Y0255""]"	"{""catalog number"": 1}"
EIG.6762	P0006	text	isolated_text_label_panel	[201, 7590, 284, 7661]	0.00012468183176885458	1	0.0134358	0.0134358	2.5334545805599453	"[""Y0295""]"	"{""catalog number"": 1}"
EIG.6762	P0007	text	isolated_text_label_panel	[299, 1695, 562, 1870]	0.0009737792817175516	1	0.01558679	0.01558679	2.2399075505599453	"[""Y0261""]"	"{""barcode label"": 1}"
EIG.6762	P0008	auxiliary	auxiliary_barrier_panel	[0, 255, 5620, 7833]	0.9010681718702555	36	0.29759213	0.06474574138888892	2.081480893915264	"[""Y0013"", ""Y0015"", ""Y0023"", ""Y0039"", ""Y0041"", ""Y0058"", ""Y0069"", ""Y0070"", ""Y0080"", ""Y0081"", ""Y0084"", ""Y0093"", ""Y0094"", ""Y0100"", ""Y0104"", ""Y0107"", ""Y0112"", ""Y0126"", ""Y0127"", ""Y0130"", ""Y0135"", ""Y0143"", ""Y0145"", ""Y0151"", ""Y0152"", ""Y0183"", ""Y0191"", ""Y0193"", ""Y0205"", ""Y0208"", ""Y0212"", ""Y0254"", ""Y0265"", ""Y0266"", ""Y0269"", ""Y0291""]"	"{""blank paper label"": 23, ""color calibration chart"": 4, ""color checker"": 1, ""colour bar"": 4, ""colour chart"": 2, ""empty label"": 1, ""institution logo"": 1}"
EIG.6762	P0009	auxiliary	auxiliary_barrier_panel	[2520, 7017, 3148, 7429]	0.005474236963269363	2	0.19384268	0.17713152	0.8200350821670275	"[""Y0027"", ""Y0036""]"	"{""color calibration chart"": 1, ""institution logo"": 1}"
EIG.6762	P0010	auxiliary	auxiliary_barrier_panel	[1375, 7163, 2395, 7460]	0.006409488226040523	1	0.44874051	0.44874051	0.7098421776399864	"[""Y0005""]"	"{""empty label"": 1}"
