dataset	specimen_id	has_deduped_box_audit	deduped_box_audit_rows	has_candidate_panels	candidate_panels_rows	has_auxiliary_barrier_panels	auxiliary_barrier_panels_rows	has_final_ocr_queue	final_ocr_queue_rows
main500	BM000075813	yes	220	yes	6	yes	1	yes	4
main500	BM000500117	yes	300	yes	3	yes	1	yes	2
main500	BM000501121	yes	300	yes	2	yes	1	yes	1
main500	BM000517025	yes	202	yes	6	yes	1	yes	5
main500	BM000521570	yes	254	yes	9	yes	3	yes	6
main500	BM000521755	yes	300	yes	12	yes	3	yes	9
main500	BM000521866	yes	223	yes	5	yes	1	yes	4
main500	BM000521903	yes	138	yes	4	yes	1	yes	3
main500	BM000522091	yes	189	yes	4	yes	1	yes	2
main500	BM000546829	yes	173	yes	5	yes	1	yes	4
main500	BM000547082	yes	177	yes	5	yes	1	yes	4
main500	BM000551636	yes	211	yes	5	yes	1	yes	3
main500	BM000561307	yes	192	yes	8	yes	1	yes	7
main500	BM000562804	yes	174	yes	7	yes	4	yes	3
main500	BM000574146	yes	272	yes	5	yes	1	yes	4
main500	BM000583717	yes	300	yes	4	yes	1	yes	3
main500	BM000625315	yes	256	yes	8	yes	1	yes	7
main500	BM000625345	yes	207	yes	6	yes	1	yes	5
main500	BM000625363	yes	191	yes	10	yes	3	yes	7
main500	BM000644348	yes	300	yes	9	yes	1	yes	7
main500	BM000648870	yes	294	yes	10	yes	4	yes	5
main500	BM000773782	yes	300	yes	7	yes	2	yes	5
main500	BM000782322	yes	203	yes	4	yes	1	yes	3
main500	BM000782325	yes	177	yes	5	yes	1	yes	4
main500	BM000796649	yes	223	yes	5	yes	1	yes	4
main500	BM000799936	yes	240	yes	4	yes	1	yes	3
main500	BM000810206	yes	300	yes	5	yes	1	yes	4
main500	BM000810980	yes	246	yes	6	yes	1	yes	5
main500	BM000815211	yes	147	yes	12	yes	6	yes	6
main500	BM000832670	yes	282	yes	5	yes	1	yes	4
main500	BM000842241	yes	300	yes	13	yes	4	yes	9
main500	BM000846256	yes	236	yes	9	yes	3	yes	5
main500	BM000846262	yes	244	yes	13	yes	4	yes	6
main500	BM000846292	yes	178	yes	10	yes	5	yes	5
main500	BM000846296	yes	259	yes	8	yes	3	yes	5
main500	BM000846303	yes	300	yes	13	yes	6	yes	7
main500	BM000846319	yes	248	yes	3	yes	1	yes	2
main500	BM000846329	yes	250	yes	5	yes	1	yes	4
main500	BM000846347	yes	228	yes	6	yes	1	yes	5
main500	BM000846363	yes	150	yes	3	yes	1	yes	2
main500	BM000846429	yes	198	yes	6	yes	1	yes	5
main500	BM000846717	yes	195	yes	8	yes	4	yes	4
main500	BM000846721	yes	174	yes	8	yes	3	yes	5
main500	BM000846722	yes	154	yes	6	yes	2	yes	4
main500	BM000846729	yes	273	yes	7	yes	4	yes	3
main500	BM000846739	yes	248	yes	5	yes	1	yes	4
main500	BM000846759	yes	195	yes	7	yes	2	yes	5
main500	BM000846821	yes	251	yes	6	yes	2	yes	3
main500	BM000846834	yes	190	yes	4	yes	1	yes	3
