task_id	specimen_id	source_row	image_path	occurrenceID	DOI	jpegURL	jsonURL	all750_idx0
0	E00289691	1	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0001_E00289691.jpg	http://data.rbge.org.uk/herb/E00289691	http://dx.doi.org/10.5281/zenodo.1483921	https://zenodo.org/record/1483921/files/E00289691.jpg	https://zenodo.org/record/1483921/files/E00289691.json	0
1	K000587145	2	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0002_K000587145.jpg	http://specimens.kew.org/herbarium/K000587145	http://dx.doi.org/10.5281/zenodo.1485914	https://zenodo.org/record/1485914/files/K000587145.jpg	https://zenodo.org/record/1485914/files/K000587145.json	1
2	BM000796649	3	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0003_BM000796649.jpg	333757c3-081a-478e-803d-6b2674a42754	http://dx.doi.org/10.5281/zenodo.1480332	https://zenodo.org/record/1480332/files/BM000796649.jpg	https://zenodo.org/record/1480332/files/BM000796649.json	2
3	K000821274	4	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0004_K000821274.jpg	http://specimens.kew.org/herbarium/K000821274	http://dx.doi.org/10.5281/zenodo.1486008	https://zenodo.org/record/1486008/files/K000821274.jpg	https://zenodo.org/record/1486008/files/K000821274.json	3
4	L.2180891	5	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0005_L.2180891.jpg	http://data.biodiversitydata.nl/naturalis/specimen/L.2180891	http://dx.doi.org/10.5281/zenodo.1486896	https://zenodo.org/record/1486896/files/L.2180891.jpg	https://zenodo.org/record/1486896/files/L.2180891.json	4
5	K001031711	6	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0006_K001031711.jpg	http://specimens.kew.org/herbarium/K001031711	http://dx.doi.org/10.5281/zenodo.1486584	https://zenodo.org/record/1486584/files/K001031711.jpg	https://zenodo.org/record/1486584/files/K001031711.json	5
6	BR0000009519527	7	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0007_BR0000009519527.jpg	http://www.botanicalcollections.be/specimen/BR0000009519527	http://dx.doi.org/10.5281/zenodo.1481035	https://zenodo.org/record/1481035/files/BR0000009519527.jpg	https://zenodo.org/record/1481035/files/BR0000009519527.json	6
7	E00431314	8	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0008_E00431314.jpg	http://data.rbge.org.uk/herb/E00431314	http://dx.doi.org/10.5281/zenodo.1484064	https://zenodo.org/record/1484064/files/E00431314.jpg	https://zenodo.org/record/1484064/files/E00431314.json	7
8	E00431342	9	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0009_E00431342.jpg	http://data.rbge.org.uk/herb/E00431342	http://dx.doi.org/10.5281/zenodo.1484070	https://zenodo.org/record/1484070/files/E00431342.jpg	https://zenodo.org/record/1484070/files/E00431342.json	8
9	BM000574146	10	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0010_BM000574146.jpg	43298286-0ea3-4999-abec-7bb712a456e7	http://dx.doi.org/10.5281/zenodo.1480292	https://zenodo.org/record/1480292/files/BM000574146.jpg	https://zenodo.org/record/1480292/files/BM000574146.json	9
