main500_task_id	all750_idx0	specimen_id	image_exists	chosen_image_path	original_local_jpeg	candidate_paths	DOI	jpegURL	jsonURL	occurrenceID
0	0	E00289691	True	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0001_E00289691.jpg	data_rds/02_raw_images/main500/main500_row0001_E00289691.jpg	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0001_E00289691.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/nhm_scribe_repo/data_rds/02_raw_images/main500/main500_row0001_E00289691.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main_data/main500_row0001_E00289691.jpg	http://dx.doi.org/10.5281/zenodo.1483921	https://zenodo.org/record/1483921/files/E00289691.jpg	https://zenodo.org/record/1483921/files/E00289691.json	http://data.rbge.org.uk/herb/E00289691
1	1	K000587145	True	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0002_K000587145.jpg	data_rds/02_raw_images/main500/main500_row0002_K000587145.jpg	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0002_K000587145.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/nhm_scribe_repo/data_rds/02_raw_images/main500/main500_row0002_K000587145.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main_data/main500_row0002_K000587145.jpg	http://dx.doi.org/10.5281/zenodo.1485914	https://zenodo.org/record/1485914/files/K000587145.jpg	https://zenodo.org/record/1485914/files/K000587145.json	http://specimens.kew.org/herbarium/K000587145
2	2	BM000796649	True	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0003_BM000796649.jpg	data_rds/02_raw_images/main500/main500_row0003_BM000796649.jpg	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0003_BM000796649.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/nhm_scribe_repo/data_rds/02_raw_images/main500/main500_row0003_BM000796649.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main_data/main500_row0003_BM000796649.jpg	http://dx.doi.org/10.5281/zenodo.1480332	https://zenodo.org/record/1480332/files/BM000796649.jpg	https://zenodo.org/record/1480332/files/BM000796649.json	333757c3-081a-478e-803d-6b2674a42754
3	3	K000821274	True	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0004_K000821274.jpg	data_rds/02_raw_images/main500/main500_row0004_K000821274.jpg	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0004_K000821274.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/nhm_scribe_repo/data_rds/02_raw_images/main500/main500_row0004_K000821274.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main_data/main500_row0004_K000821274.jpg	http://dx.doi.org/10.5281/zenodo.1486008	https://zenodo.org/record/1486008/files/K000821274.jpg	https://zenodo.org/record/1486008/files/K000821274.json	http://specimens.kew.org/herbarium/K000821274
4	4	L.2180891	True	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0005_L.2180891.jpg	data_rds/02_raw_images/main500/main500_row0005_L.2180891.jpg	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0005_L.2180891.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/nhm_scribe_repo/data_rds/02_raw_images/main500/main500_row0005_L.2180891.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main_data/main500_row0005_L.2180891.jpg	http://dx.doi.org/10.5281/zenodo.1486896	https://zenodo.org/record/1486896/files/L.2180891.jpg	https://zenodo.org/record/1486896/files/L.2180891.json	http://data.biodiversitydata.nl/naturalis/specimen/L.2180891
5	5	K001031711	True	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0006_K001031711.jpg	data_rds/02_raw_images/main500/main500_row0006_K001031711.jpg	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0006_K001031711.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/nhm_scribe_repo/data_rds/02_raw_images/main500/main500_row0006_K001031711.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main_data/main500_row0006_K001031711.jpg	http://dx.doi.org/10.5281/zenodo.1486584	https://zenodo.org/record/1486584/files/K001031711.jpg	https://zenodo.org/record/1486584/files/K001031711.json	http://specimens.kew.org/herbarium/K001031711
6	6	BR0000009519527	True	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0007_BR0000009519527.jpg	data_rds/02_raw_images/main500/main500_row0007_BR0000009519527.jpg	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0007_BR0000009519527.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/nhm_scribe_repo/data_rds/02_raw_images/main500/main500_row0007_BR0000009519527.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main_data/main500_row0007_BR0000009519527.jpg	http://dx.doi.org/10.5281/zenodo.1481035	https://zenodo.org/record/1481035/files/BR0000009519527.jpg	https://zenodo.org/record/1481035/files/BR0000009519527.json	http://www.botanicalcollections.be/specimen/BR0000009519527
7	7	E00431314	True	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0008_E00431314.jpg	data_rds/02_raw_images/main500/main500_row0008_E00431314.jpg	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0008_E00431314.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/nhm_scribe_repo/data_rds/02_raw_images/main500/main500_row0008_E00431314.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main_data/main500_row0008_E00431314.jpg	http://dx.doi.org/10.5281/zenodo.1484064	https://zenodo.org/record/1484064/files/E00431314.jpg	https://zenodo.org/record/1484064/files/E00431314.json	http://data.rbge.org.uk/herb/E00431314
8	8	E00431342	True	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0009_E00431342.jpg	data_rds/02_raw_images/main500/main500_row0009_E00431342.jpg	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0009_E00431342.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/nhm_scribe_repo/data_rds/02_raw_images/main500/main500_row0009_E00431342.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main_data/main500_row0009_E00431342.jpg	http://dx.doi.org/10.5281/zenodo.1484070	https://zenodo.org/record/1484070/files/E00431342.jpg	https://zenodo.org/record/1484070/files/E00431342.json	http://data.rbge.org.uk/herb/E00431342
9	9	BM000574146	True	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0010_BM000574146.jpg	data_rds/02_raw_images/main500/main500_row0010_BM000574146.jpg	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0010_BM000574146.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/nhm_scribe_repo/data_rds/02_raw_images/main500/main500_row0010_BM000574146.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main_data/main500_row0010_BM000574146.jpg	http://dx.doi.org/10.5281/zenodo.1480292	https://zenodo.org/record/1480292/files/BM000574146.jpg	https://zenodo.org/record/1480292/files/BM000574146.json	43298286-0ea3-4999-abec-7bb712a456e7
