task_id	chunk10_id	specimen_id	image_path	queue_exists	overlay_exists	marker_exists
132	13	L_0044156	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/L_0044156.jpg	False	False	False
160	16	L_0491067	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/L_0491067.jpg	False	False	False
194	19	E00639946	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/E00639946.jpg	False	False	False
261	26	L.3474871	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/L.3474871.jpg	False	False	False
277	27	U_0004420	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/U_0004420.jpg	False	False	False
305	30	U_0006147	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/U_0006147.jpg	False	False	False
320	32	L_0016431	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/L_0016431.jpg	False	False	False
354	35	E00049052	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/E00049052.jpg	False	False	False
421	42	BM000846721	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/BM000846721.jpg	False	False	False
488	48	K000321250	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/K000321250.jpg	False	False	False
490	49	B_10_0002521	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/B_10_0002521.jpg	False	False	False
491	49	B_10_0184751	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/B_10_0184751.jpg	False	False	False
492	49	B_10_0423785	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/B_10_0423785.jpg	False	False	False
493	49	B_10_0327000	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/B_10_0327000.jpg	False	False	False
494	49	B_10_0066610	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/B_10_0066610.jpg	False	False	False
495	49	B_10_0003448	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/B_10_0003448.jpg	False	False	False
496	49	B_10_0003450	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/B_10_0003450.jpg	False	False	False
497	49	B_10_0089598	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/B_10_0089598.jpg	False	False	False
498	49	B_10_0089768	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/B_10_0089768.jpg	False	False	False
499	49	B_10_0278606	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/B_10_0278606.jpg	False	False	False
