task_id	specimen_id	source_row	image_path	occurrenceID	DOI	jpegURL	jsonURL	all750_idx0
0	E00633257	1	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/new250/new250_row0001_E00633257.jpg	http://data.rbge.org.uk/herb/E00633257	http://dx.doi.org/10.5281/zenodo.1484146	https://zenodo.org/record/1484146/files/E00633257.jpg	https://zenodo.org/record/1484146/files/E00633257.json	500
1	E00144488	2	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/new250/new250_row0002_E00144488.jpg	http://data.rbge.org.uk/herb/E00144488	http://dx.doi.org/10.5281/zenodo.1483772	https://zenodo.org/record/1483772/files/E00144488.jpg	https://zenodo.org/record/1483772/files/E00144488.json	501
2	H.1080032	3	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/new250/new250_row0003_H.1080032.jpg	http://id.luomus.fi/H.1080032	http://dx.doi.org/10.5281/zenodo.1485480	https://zenodo.org/record/1485480/files/H.1080032.jpg	https://zenodo.org/record/1485480/files/H.1080032.json	502
3	H.1099712	4	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/new250/new250_row0004_H.1099712.jpg	http://id.luomus.fi/H.1099712	http://dx.doi.org/10.5281/zenodo.1485500	https://zenodo.org/record/1485500/files/H.1099712.jpg	https://zenodo.org/record/1485500/files/H.1099712.json	503
4	H.1080985	5	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/new250/new250_row0005_H.1080985.jpg	http://id.luomus.fi/H.1080985	http://dx.doi.org/10.5281/zenodo.1485488	https://zenodo.org/record/1485488/files/H.1080985.jpg	https://zenodo.org/record/1485488/files/H.1080985.json	504
5	H.1099710	6	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/new250/new250_row0006_H.1099710.jpg	http://id.luomus.fi/H.1099710	http://dx.doi.org/10.5281/zenodo.1485498	https://zenodo.org/record/1485498/files/H.1099710.jpg	https://zenodo.org/record/1485498/files/H.1099710.json	505
6	H.1099713	7	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/new250/new250_row0007_H.1099713.jpg	http://id.luomus.fi/H.1099713	http://dx.doi.org/10.5281/zenodo.1485502	https://zenodo.org/record/1485502/files/H.1099713.jpg	https://zenodo.org/record/1485502/files/H.1099713.json	506
7	BR0000025565478V	8	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/new250/new250_row0008_BR0000025565478V.jpg	http://www.botanicalcollections.be/specimen/BR0000025565478V	http://dx.doi.org/10.5281/zenodo.1483427	https://zenodo.org/record/1483427/files/BR0000025565478V.jpg	https://zenodo.org/record/1483427/files/BR0000025565478V.json	507
8	H.1073986	9	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/new250/new250_row0009_H.1073986.jpg	http://id.luomus.fi/H.1073986	http://dx.doi.org/10.5281/zenodo.1485464	https://zenodo.org/record/1485464/files/H.1073986.jpg	https://zenodo.org/record/1485464/files/H.1073986.json	508
9	L_0004873	10	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/new250/L_0004873.jpg	http://data.biodiversitydata.nl/naturalis/specimen/L%20%200004873	http://dx.doi.org/10.5281/zenodo.1486752	https://zenodo.org/record/1486752/files/L  0004873.jpg	https://zenodo.org/record/1486752/files/L  0004873.json	509
10	BM001039578	11	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/new250/new250_row0011_BM001039578.jpg	59c660df-7a51-40eb-9226-fee6a71eb60c	http://dx.doi.org/10.5281/zenodo.1480597	https://zenodo.org/record/1480597/files/BM001039578.jpg	https://zenodo.org/record/1480597/files/BM001039578.json	510
