new250_task_id	all750_idx0	specimen_id	image_exists	chosen_image_path	original_local_jpeg	candidate_paths	DOI	jpegURL	jsonURL	occurrenceID
0	500	E00633257	True	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/new250/new250_row0001_E00633257.jpg	data_rds/02_raw_images/new250/new250_row0001_E00633257.jpg	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/new250/new250_row0001_E00633257.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/nhm_scribe_repo/data_rds/02_raw_images/new250/new250_row0001_E00633257.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/new250/new250_row0001_E00633257.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/new_data/new250_row0001_E00633257.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/new250_row0001_E00633257.jpg	http://dx.doi.org/10.5281/zenodo.1484146	https://zenodo.org/record/1484146/files/E00633257.jpg	https://zenodo.org/record/1484146/files/E00633257.json	http://data.rbge.org.uk/herb/E00633257
1	501	E00144488	True	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/new250/new250_row0002_E00144488.jpg	data_rds/02_raw_images/new250/new250_row0002_E00144488.jpg	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/new250/new250_row0002_E00144488.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/nhm_scribe_repo/data_rds/02_raw_images/new250/new250_row0002_E00144488.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/new250/new250_row0002_E00144488.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/new_data/new250_row0002_E00144488.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/new250_row0002_E00144488.jpg	http://dx.doi.org/10.5281/zenodo.1483772	https://zenodo.org/record/1483772/files/E00144488.jpg	https://zenodo.org/record/1483772/files/E00144488.json	http://data.rbge.org.uk/herb/E00144488
2	502	H.1080032	True	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/new250/new250_row0003_H.1080032.jpg	data_rds/02_raw_images/new250/new250_row0003_H.1080032.jpg	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/new250/new250_row0003_H.1080032.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/nhm_scribe_repo/data_rds/02_raw_images/new250/new250_row0003_H.1080032.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/new250/new250_row0003_H.1080032.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/new_data/new250_row0003_H.1080032.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/new250_row0003_H.1080032.jpg	http://dx.doi.org/10.5281/zenodo.1485480	https://zenodo.org/record/1485480/files/H.1080032.jpg	https://zenodo.org/record/1485480/files/H.1080032.json	http://id.luomus.fi/H.1080032
3	503	H.1099712	True	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/new250/new250_row0004_H.1099712.jpg	data_rds/02_raw_images/new250/new250_row0004_H.1099712.jpg	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/new250/new250_row0004_H.1099712.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/nhm_scribe_repo/data_rds/02_raw_images/new250/new250_row0004_H.1099712.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/new250/new250_row0004_H.1099712.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/new_data/new250_row0004_H.1099712.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/new250_row0004_H.1099712.jpg	http://dx.doi.org/10.5281/zenodo.1485500	https://zenodo.org/record/1485500/files/H.1099712.jpg	https://zenodo.org/record/1485500/files/H.1099712.json	http://id.luomus.fi/H.1099712
4	504	H.1080985	True	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/new250/new250_row0005_H.1080985.jpg	data_rds/02_raw_images/new250/new250_row0005_H.1080985.jpg	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/new250/new250_row0005_H.1080985.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/nhm_scribe_repo/data_rds/02_raw_images/new250/new250_row0005_H.1080985.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/new250/new250_row0005_H.1080985.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/new_data/new250_row0005_H.1080985.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/new250_row0005_H.1080985.jpg	http://dx.doi.org/10.5281/zenodo.1485488	https://zenodo.org/record/1485488/files/H.1080985.jpg	https://zenodo.org/record/1485488/files/H.1080985.json	http://id.luomus.fi/H.1080985
5	505	H.1099710	True	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/new250/new250_row0006_H.1099710.jpg	data_rds/02_raw_images/new250/new250_row0006_H.1099710.jpg	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/new250/new250_row0006_H.1099710.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/nhm_scribe_repo/data_rds/02_raw_images/new250/new250_row0006_H.1099710.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/new250/new250_row0006_H.1099710.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/new_data/new250_row0006_H.1099710.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/new250_row0006_H.1099710.jpg	http://dx.doi.org/10.5281/zenodo.1485498	https://zenodo.org/record/1485498/files/H.1099710.jpg	https://zenodo.org/record/1485498/files/H.1099710.json	http://id.luomus.fi/H.1099710
6	506	H.1099713	True	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/new250/new250_row0007_H.1099713.jpg	data_rds/02_raw_images/new250/new250_row0007_H.1099713.jpg	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/new250/new250_row0007_H.1099713.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/nhm_scribe_repo/data_rds/02_raw_images/new250/new250_row0007_H.1099713.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/new250/new250_row0007_H.1099713.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/new_data/new250_row0007_H.1099713.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/new250_row0007_H.1099713.jpg	http://dx.doi.org/10.5281/zenodo.1485502	https://zenodo.org/record/1485502/files/H.1099713.jpg	https://zenodo.org/record/1485502/files/H.1099713.json	http://id.luomus.fi/H.1099713
7	507	BR0000025565478V	True	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/new250/new250_row0008_BR0000025565478V.jpg	data_rds/02_raw_images/new250/new250_row0008_BR0000025565478V.jpg	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/new250/new250_row0008_BR0000025565478V.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/nhm_scribe_repo/data_rds/02_raw_images/new250/new250_row0008_BR0000025565478V.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/new250/new250_row0008_BR0000025565478V.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/new_data/new250_row0008_BR0000025565478V.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/new250_row0008_BR0000025565478V.jpg	http://dx.doi.org/10.5281/zenodo.1483427	https://zenodo.org/record/1483427/files/BR0000025565478V.jpg	https://zenodo.org/record/1483427/files/BR0000025565478V.json	http://www.botanicalcollections.be/specimen/BR0000025565478V
8	508	H.1073986	True	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/new250/new250_row0009_H.1073986.jpg	data_rds/02_raw_images/new250/new250_row0009_H.1073986.jpg	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/new250/new250_row0009_H.1073986.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/nhm_scribe_repo/data_rds/02_raw_images/new250/new250_row0009_H.1073986.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/new250/new250_row0009_H.1073986.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/new_data/new250_row0009_H.1073986.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/new250_row0009_H.1073986.jpg	http://dx.doi.org/10.5281/zenodo.1485464	https://zenodo.org/record/1485464/files/H.1073986.jpg	https://zenodo.org/record/1485464/files/H.1073986.json	http://id.luomus.fi/H.1073986
9	509	L_0004873	False	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/new250/new250_row0010_L_0004873.jpg	data_rds/02_raw_images/new250/new250_row0010_L_0004873.jpg	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/new250/new250_row0010_L_0004873.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/nhm_scribe_repo/data_rds/02_raw_images/new250/new250_row0010_L_0004873.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/new250/new250_row0010_L_0004873.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/new_data/new250_row0010_L_0004873.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/new250_row0010_L_0004873.jpg	http://dx.doi.org/10.5281/zenodo.1486752	https://zenodo.org/record/1486752/files/L  0004873.jpg	https://zenodo.org/record/1486752/files/L  0004873.json	http://data.biodiversitydata.nl/naturalis/specimen/L%20%200004873
